text,occurrences,label,model,length,token_length,tokenizer,dataset
Mary,24084,PERSON,en_core_web_sm,4,2,google/flan-t5-small,bAbI
Bill,5087,PERSON,en_core_web_sm,4,2,google/flan-t5-small,bAbI
Fred,1661,PERSON,en_core_web_sm,4,2,google/flan-t5-small,bAbI
Julie,2200,PERSON,en_core_web_sm,5,2,google/flan-t5-small,bAbI
John,18916,PERSON,en_core_web_sm,4,2,google/flan-t5-small,bAbI
Sandra,19080,PERSON,en_core_web_sm,6,2,google/flan-t5-small,bAbI
Daniel,8314,PERSON,en_core_web_sm,6,2,google/flan-t5-small,bAbI
Jeff,2895,PERSON,en_core_web_sm,4,2,google/flan-t5-small,bAbI
Daniel,148,NORP,en_core_web_sm,6,2,google/flan-t5-small,bAbI
Daniel,1711,ORG,en_core_web_sm,6,2,google/flan-t5-small,bAbI
Daniel,72,GPE,en_core_web_sm,6,2,google/flan-t5-small,bAbI
Yann,495,PERSON,en_core_web_sm,4,3,google/flan-t5-small,bAbI
Jason,506,PERSON,en_core_web_sm,5,2,google/flan-t5-small,bAbI
Antoine,38,ORG,en_core_web_sm,7,3,google/flan-t5-small,bAbI
Bernhard,2407,ORG,en_core_web_sm,8,3,google/flan-t5-small,bAbI
Brian,3618,PERSON,en_core_web_sm,5,2,google/flan-t5-small,bAbI
Julius,3602,ORG,en_core_web_sm,6,3,google/flan-t5-small,bAbI
this morning,670,TIME,en_core_web_sm,12,3,google/flan-t5-small,bAbI
yesterday,786,DATE,en_core_web_sm,9,2,google/flan-t5-small,bAbI
this afternoon,562,TIME,en_core_web_sm,14,3,google/flan-t5-small,bAbI
Yesterday,743,DATE,en_core_web_sm,9,2,google/flan-t5-small,bAbI
this evening,233,TIME,en_core_web_sm,12,3,google/flan-t5-small,bAbI
the red square,13,LOC,en_core_web_sm,14,4,google/flan-t5-small,bAbI
Gertrude,500,PERSON,en_core_web_sm,8,4,google/flan-t5-small,bAbI
Winona,500,ORG,en_core_web_sm,6,4,google/flan-t5-small,bAbI
Jessica,500,PRODUCT,en_core_web_sm,7,2,google/flan-t5-small,bAbI
Aaron,3646,PERSON,NA,5,2,google/flan-t5-small,first_name_demographics
Abbas,59,PERSON,NA,5,3,google/flan-t5-small,first_name_demographics
Abbey,57,PERSON,NA,5,2,google/flan-t5-small,first_name_demographics
Abbie,74,PERSON,NA,5,3,google/flan-t5-small,first_name_demographics
Abby,262,PERSON,NA,4,3,google/flan-t5-small,first_name_demographics
Abdul,221,PERSON,NA,5,2,google/flan-t5-small,first_name_demographics
Abdullah,44,PERSON,NA,8,4,google/flan-t5-small,first_name_demographics
Abe,31,PERSON,NA,3,3,google/flan-t5-small,first_name_demographics
Abel,327,PERSON,NA,4,3,google/flan-t5-small,first_name_demographics
Abelardo,76,PERSON,NA,8,5,google/flan-t5-small,first_name_demographics
Abhijit,34,PERSON,NA,7,5,google/flan-t5-small,first_name_demographics
Abhishek,18,PERSON,NA,8,5,google/flan-t5-small,first_name_demographics
Abigail,418,PERSON,NA,7,4,google/flan-t5-small,first_name_demographics
Abner,41,PERSON,NA,5,3,google/flan-t5-small,first_name_demographics
Abraham,413,PERSON,NA,7,2,google/flan-t5-small,first_name_demographics
Abram,43,PERSON,NA,5,3,google/flan-t5-small,first_name_demographics
Ada,199,PERSON,NA,3,3,google/flan-t5-small,first_name_demographics
Adalberto,69,PERSON,NA,9,5,google/flan-t5-small,first_name_demographics
Adam,4725,PERSON,NA,4,2,google/flan-t5-small,first_name_demographics
Adan,146,PERSON,NA,4,3,google/flan-t5-small,first_name_demographics
Addie,49,PERSON,NA,5,4,google/flan-t5-small,first_name_demographics
Adel,77,PERSON,NA,4,2,google/flan-t5-small,first_name_demographics
Adela,122,PERSON,NA,5,3,google/flan-t5-small,first_name_demographics
Adelaida,44,PERSON,NA,8,4,google/flan-t5-small,first_name_demographics
Adelaide,41,PERSON,NA,8,2,google/flan-t5-small,first_name_demographics
Adele,193,PERSON,NA,5,3,google/flan-t5-small,first_name_demographics
Adelina,62,PERSON,NA,7,4,google/flan-t5-small,first_name_demographics
Adeline,66,PERSON,NA,7,3,google/flan-t5-small,first_name_demographics
Adina,55,PERSON,NA,5,4,google/flan-t5-small,first_name_demographics
Admir,15,PERSON,NA,5,2,google/flan-t5-small,first_name_demographics
Adnan,66,PERSON,NA,5,4,google/flan-t5-small,first_name_demographics
Adolfo,179,PERSON,NA,6,6,google/flan-t5-small,first_name_demographics
Adolph,44,PERSON,NA,6,3,google/flan-t5-small,first_name_demographics
Adria,40,PERSON,NA,5,3,google/flan-t5-small,first_name_demographics
Adrian,865,PERSON,NA,6,2,google/flan-t5-small,first_name_demographics
